"","Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll","hcluster"
"1",28143,0,174,1,0,0,7000,1
"2",19244,0,215,2,0,0,6968,1
"3",41354,0,4123,4,0,0,7034,2
"4",14776,0,500,1,0,0,6952,1
"5",97752,0,43300,26,2077,4,6935,2
"6",16420,0,0,0,0,0,6942,1
"7",84914,0,27482,25,0,0,6994,2
"8",20856,0,5250,4,250,1,6938,1
"9",443003,0,1753,43,3850,12,6948,3
"10",104860,0,28426,28,1150,3,6931,4
"11",40091,0,7278,10,0,0,6959,2
"12",96522,0,61105,19,0,0,6924,2
"13",43382,0,11150,20,0,0,6924,2
"14",43097,0,3258,6,0,0,6918,2
"15",17648,0,0,0,0,0,6912,1
"16",28495,0,49442,15,0,0,6912,2
"17",51890,0,48963,16,0,0,6910,2
"18",13958,0,4291,5,0,0,6905,1
"19",91473,0,27408,17,0,0,6903,2
"20",23354,0,10447,5,0,0,6896,1
"21",120576,0,58831,23,250,2,6896,4
"22",185681,2024,13300,16,1800,9,6896,5
"23",20584,0,3450,11,3450,11,6884,1
"24",66275,0,2533,11,150,1,6884,2
"25",205651,500,4025,21,700,4,7932,5
"26",20726,0,1375,4,0,0,7924,1
"27",18521,0,1227,2,1227,2,7917,1
"28",8828,0,0,0,0,0,7914,1
"29",59763,0,33772,20,100,1,7907,2
"30",19221,0,4655,8,500,1,7896,1
"31",177926,0,20797,13,0,0,7886,4
"32",10021,0,0,0,0,0,7879,1
"33",276571,0,42044,23,0,0,7872,5
"34",18047,0,100,1,0,0,7868,1
"35",43832,0,0,0,0,0,7865,2
"36",123759,0,50572,23,2500,5,7865,4
"37",23193,0,650,4,550,3,7861,1
"38",68666,0,350,2,350,2,7861,2
"39",59990,0,27878,17,0,0,7854,2
"40",2176,0,0,0,0,0,7847,1
"41",34616,0,1750,4,500,1,7850,1
"42",10470,0,38094,26,0,0,7840,2
"43",60313,0,10000,26,3250,9,7829,2
"44",619393,0,15008,14,0,0,7819,3
"45",121260,0,18493,18,0,0,7808,4
"46",288865,967,23600,14,2000,4,6884,5
"47",92336,0,11214,6,0,0,6884,2
"48",36924,0,5900,6,300,2,6879,2
"49",70312,0,34678,24,500,1,6875,2
"50",17051,0,1150,4,1150,4,6868,1
"51",108137,0,6368,5,6368,5,6844,4
"52",1300,0,370,1,0,0,6868,1
"53",118531,0,44577,38,0,0,6868,4
"54",121395,0,4970,8,650,2,6889,4
"55",38348,0,0,0,0,0,6861,1
"56",14448,0,1625,6,0,0,6856,1
"57",75971,0,34339,14,0,0,6869,2
"58",36298,0,3100,5,600,3,6865,1
"59",38077,0,34024,8,0,0,6837,2
"60",95118,0,23188,23,2200,7,6865,2
