"","Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll","Cluster"
"1",28143,0,174,1,0,0,7000,4
"2",19244,0,215,2,0,0,6968,4
"3",41354,0,4123,4,0,0,7034,4
"4",14776,0,500,1,0,0,6952,4
"5",97752,0,43300,26,2077,4,6935,5
"6",16420,0,0,0,0,0,6942,4
"7",84914,0,27482,25,0,0,6994,3
"8",20856,0,5250,4,250,1,6938,4
"9",443003,0,1753,43,3850,12,6948,1
"10",104860,0,28426,28,1150,3,6931,3
"11",40091,0,7278,10,0,0,6959,4
"12",96522,0,61105,19,0,0,6924,5
"13",43382,0,11150,20,0,0,6924,4
"14",43097,0,3258,6,0,0,6918,4
"15",17648,0,0,0,0,0,6912,4
"16",28495,0,49442,15,0,0,6912,4
"17",51890,0,48963,16,0,0,6910,4
"18",13958,0,4291,5,0,0,6905,4
"19",91473,0,27408,17,0,0,6903,4
"20",23354,0,10447,5,0,0,6896,4
"21",120576,0,58831,23,250,2,6896,5
"22",185681,2024,13300,16,1800,9,6896,5
"23",20584,0,3450,11,3450,11,6884,4
"24",66275,0,2533,11,150,1,6884,4
"25",205651,500,4025,21,700,4,7932,4
"26",20726,0,1375,4,0,0,7924,4
"27",18521,0,1227,2,1227,2,7917,4
"28",8828,0,0,0,0,0,7914,4
"29",59763,0,33772,20,100,1,7907,4
"30",19221,0,4655,8,500,1,7896,4
"31",177926,0,20797,13,0,0,7886,4
"32",10021,0,0,0,0,0,7879,4
"33",276571,0,42044,23,0,0,7872,5
"34",18047,0,100,1,0,0,7868,4
"35",43832,0,0,0,0,0,7865,4
"36",123759,0,50572,23,2500,5,7865,5
"37",23193,0,650,4,550,3,7861,4
"38",68666,0,350,2,350,2,7861,4
"39",59990,0,27878,17,0,0,7854,4
"40",2176,0,0,0,0,0,7847,4
"41",34616,0,1750,4,500,1,7850,4
"42",10470,0,38094,26,0,0,7840,4
"43",60313,0,10000,26,3250,9,7829,1
"44",619393,0,15008,14,0,0,7819,5
"45",121260,0,18493,18,0,0,7808,4
"46",288865,967,23600,14,2000,4,6884,5
"47",92336,0,11214,6,0,0,6884,4
"48",36924,0,5900,6,300,2,6879,4
"49",70312,0,34678,24,500,1,6875,3
"50",17051,0,1150,4,1150,4,6868,4
"51",108137,0,6368,5,6368,5,6844,1
"52",1300,0,370,1,0,0,6868,4
"53",118531,0,44577,38,0,0,6868,5
"54",121395,0,4970,8,650,2,6889,4
"55",38348,0,0,0,0,0,6861,4
"56",14448,0,1625,6,0,0,6856,4
"57",75971,0,34339,14,0,0,6869,4
"58",36298,0,3100,5,600,3,6865,4
"59",38077,0,34024,8,0,0,6837,4
"60",95118,0,23188,23,2200,7,6865,3
"61",134457,0,15588,14,0,0,6861,4
"62",19918,0,17601,11,0,0,6863,4
"63",10120,0,0,0,0,0,6864,4
"64",362642,0,28079,8,0,0,6835,5
"65",80250,0,895,2,0,0,6833,4
"66",53914,0,33767,45,5550,29,6826,1
"67",9375,0,1750,7,0,0,6826,4
"68",83237,0,35287,18,0,0,6837,4
"69",230715,0,24047,12,0,0,6826,4
"70",47457,0,12621,16,0,0,7766,4
"71",84409,5031,15436,16,1150,4,7766,5
"72",252386,0,39787,13,0,0,7787,5
"73",550367,0,12500,13,50,1,7801,5
"74",12646,0,631,4,631,4,7787,4
"75",123867,0,25308,17,0,0,7759,4
"76",129871,0,15776,22,0,0,7752,4
"77",109380,0,7537,16,0,0,7749,4
"78",111157,0,32883,19,0,0,7771,4
"79",49238,0,38037,18,0,0,7801,4
"80",38896,0,76988,16,556,1,7771,5
"81",4340,0,32685,5,0,0,7733,4
"82",88443,0,1200,3,1200,3,6837,4
"83",8454,0,498,9,0,0,6821,4
"84",61990,0,1625,6,0,0,6833,4
"85",24093,0,1750,7,0,0,6819,4
"86",35418,0,58557,18,900,3,6813,5
"87",40284,0,7719,5,0,0,6827,4
"88",609477,0,21422,22,1200,8,6820,5
"89",62553,0,7672,16,700,1,6819,4
"90",48433,0,3500,4,500,1,6807,4
"91",20508,0,22250,8,1250,5,6794,4
"92",2000,0,2000,4,2000,4,6809,4
"93",78629,0,36679,25,0,0,6817,3
"94",143566,0,5000,5,1500,3,6785,4
"95",185549,0,110859,39,2950,16,6778,1
"96",16796,0,2875,16,0,0,6773,4
"97",57346,0,5560,23,0,0,6766,4
"98",102062,0,44247,16,0,0,6758,4
"99",22324,0,1375,4,0,0,6753,4
"100",64824,0,20184,13,0,0,6770,4
"101",25076,1182,57203,14,0,0,6750,5
"102",8053,0,0,0,0,0,6750,4
"103",35119,0,0,0,0,0,6749,4
"104",28667,0,3861,7,2050,5,6749,4
"105",34327,0,0,0,0,0,6745,4
"106",3734,0,61096,18,150,2,6760,3
"107",96627,1182,49059,26,2300,9,6738,5
"108",43498,0,0,0,0,0,6759,4
"109",84674,0,46335,14,50,1,6738,4
"110",15098,0,32917,26,550,3,6737,3
"111",181019,0,18415,15,0,0,7714,4
"112",298911,0,8550,11,2550,8,7714,5
"113",124198,0,66330,23,4833,10,7710,1
"114",56906,0,2015,13,0,0,7707,4
"115",295638,0,5422,20,818,2,7700,5
"116",67018,0,23260,25,0,0,7698,4
"117",143967,0,7346,11,0,0,7689,4
"118",969559,0,2500,3,1000,2,7718,5
"119",122705,0,24222,15,0,0,7682,4
"120",16583,0,2625,7,0,0,7682,4
"121",77540,0,1000,1,0,0,7683,4
"122",205126,0,126630,45,2250,10,7668,5
"123",81974,0,37266,18,1050,3,7661,4
"124",47258,0,24768,19,0,0,7659,4
"125",77699,0,42775,13,0,0,7654,4
"126",133954,500,37670,18,1500,3,7654,5
"127",602064,0,194753,26,2250,10,7652,5
"128",213150,0,56308,41,5200,14,7645,1
"129",48333,0,10123,14,0,0,6737,4
"130",142175,0,37461,22,0,0,6732,5
"131",17469,0,0,0,0,0,6730,4
"132",19823,0,1095,3,335,1,6730,4
"133",145074,0,8000,4,0,0,6746,4
"134",101101,0,10850,11,1850,6,6725,4
"135",125948,0,15155,15,0,0,6761,4
"136",259484,1776,19172,26,7172,23,6723,1
"137",129298,0,29099,15,0,0,6722,4
"138",103302,0,53552,22,700,3,6718,5
"139",160447,0,8578,25,0,0,6716,4
"140",15472,0,3500,14,0,0,6715,4
"141",39628,0,0,0,0,0,6711,4
"142",6112,0,0,0,0,0,6709,4
"143",31769,0,450,2,450,2,6707,4
"144",126787,0,35021,17,0,0,6701,4
"145",41547,0,16857,17,0,0,6697,4
"146",100640,0,7600,8,1600,5,6708,4
"147",18707,0,100,1,0,0,6693,4
"148",50593,0,58208,17,1500,2,6689,5
"149",84631,0,20415,17,0,0,6736,4
"150",24868,0,205,5,0,0,6689,4
"151",77097,0,42403,22,1718,4,6683,5
"152",930410,0,211284,18,2250,6,7640,5
"153",298121,0,60808,20,500,1,7640,5
"154",87474,0,4581,15,0,0,7634,4
"155",48707,0,37655,14,0,0,7631,4
"156",220081,0,52574,21,500,1,7626,5
"157",212976,0,19926,12,0,0,7624,4
"158",44182,0,12313,12,0,0,7619,4
"159",228829,0,59852,21,0,0,7612,5
"160",46823,0,5860,12,0,0,7613,4
"161",69110,0,18500,19,0,0,7598,4
"162",120700,0,55323,17,1500,1,7598,5
"163",152945,0,18604,6,3604,2,7598,4
"164",10302,0,30298,19,0,0,7591,4
"165",80331,0,15489,18,0,0,7634,4
"166",69882,0,180,6,0,0,7582,4
"167",95658,0,5269,18,0,0,7584,4
"168",402874,0,74800,15,0,0,7582,5
"169",370941,0,44615,16,0,0,7577,5
"170",21694,0,45230,20,700,2,7575,4
"171",71767,0,67335,13,0,0,7570,5
"172",35820,0,0,0,0,0,7575,4
"173",352508,0,23740,6,1000,2,7563,5
"174",149285,0,15656,13,3250,6,7561,4
"175",120941,0,42301,21,0,0,7588,5
"176",451673,0,43533,19,900,4,7575,5
"177",106961,0,7357,19,200,2,7572,4
"178",28086,1745,7368,12,0,0,7549,4
"179",60230,0,500,1,0,0,7544,4
"180",6663,0,1125,7,750,4,7575,4
"181",48145,0,10735,27,0,0,7540,4
"182",127807,0,17086,16,1500,3,7537,4
"183",32948,0,50,1,50,1,7569,4
"184",8933,0,8860,14,0,0,7533,4
"185",49885,0,23640,17,0,0,7533,4
"186",89999,0,11694,13,0,0,7530,4
"187",707079,0,57173,40,3450,12,7523,1
"188",211595,0,3250,8,0,0,7521,4
"189",410795,0,73679,31,0,0,7514,5
"190",72173,0,2954,13,232,1,7509,4
"191",123516,0,240544,31,500,2,7507,5
"192",143080,733,44373,38,3928,17,7575,1
"193",386061,0,107813,24,0,0,7500,5
"194",52738,2398,0,0,0,0,7498,4
"195",24523,0,100,1,0,0,7493,4
"196",134601,0,0,0,0,0,7493,4
"197",32742,0,61857,26,0,0,7488,5
"198",108341,0,19670,21,0,0,7488,4
"199",8669,0,11397,16,0,0,7486,4
"200",118940,0,36001,17,150,1,7484,4
"201",41385,0,26948,14,0,0,7481,4
"202",28621,0,13878,20,1400,10,7479,4
"203",16230,0,486,2,0,0,7477,4
"204",152881,0,79687,18,500,1,7474,5
"205",37348,0,0,0,0,0,7472,4
"206",51468,0,2278,9,0,0,7460,4
"207",95989,0,92159,30,1329,4,7518,5
"208",23184,1250,3694,12,1150,3,7467,4
"209",27381,0,18009,18,0,0,7524,4
"210",6854,0,0,0,0,0,7467,4
"211",201346,0,99612,34,600,4,7463,5
"212",31588,0,2947,8,0,0,7463,4
"213",204582,0,4671,14,0,0,7498,4
"214",8298,0,20087,15,0,0,7498,4
"215",10097,0,2700,1,2700,1,7498,4
"216",114356,0,27308,14,0,0,7456,4
"217",1344,0,1134,9,0,0,7498,4
"218",59797,0,7069,4,0,0,7444,4
"219",189053,0,24156,22,0,0,7439,5
"220",143481,0,45891,15,0,0,7437,5
"221",1302051,2706,90653,32,3050,7,7467,5
"222",229744,0,68754,35,550,2,7467,5
"223",75039,0,2750,10,250,1,7435,4
"224",20203,0,750,6,0,0,7467,4
"225",193976,0,10849,14,0,0,7416,4
"226",98224,0,5570,11,0,0,7467,4
"227",117329,0,6448,11,0,0,7416,4
"228",119239,0,36362,15,250,1,7467,4
"229",53715,0,7164,15,300,2,7416,4
"230",153747,0,58689,15,0,0,7409,5
"231",133309,0,23987,13,0,0,7415,4
"232",81380,0,56524,22,0,0,7404,5
"233",22074,0,6039,15,0,0,7404,4
"234",24051,0,8764,13,0,0,7395,4
"235",11449,0,9057,13,0,0,7397,4
"236",182317,0,19489,17,273,1,7397,4
"237",46184,0,3125,12,500,1,7388,4
"238",285116,0,8471,18,500,1,7406,4
"239",30962,0,97683,37,6400,18,7360,1
"240",15525,0,3853,6,0,0,7406,4
"241",163530,0,88987,25,0,0,7406,5
"242",2075,0,5002,14,0,0,7374,4
"243",227881,0,41186,13,0,0,7369,5
"244",118934,0,66222,37,2250,17,7354,1
"245",468175,0,141615,22,0,0,7348,5
"246",12526,0,56076,19,3850,11,7375,1
"247",176090,0,5300,9,2200,6,7344,4
"248",15221,0,4425,9,0,0,7361,4
"249",92875,0,60990,14,0,0,7344,5
"250",88702,0,9620,13,50,1,7406,4
"251",62882,0,1925,8,0,0,7375,4
"252",30015,0,5875,32,0,0,7341,3
"253",87293,0,21584,17,1050,2,7406,4
"254",45225,0,14711,15,0,0,7339,4
"255",96098,0,12500,4,0,0,7339,4
"256",236274,0,61515,12,0,0,7375,5
"257",423540,0,8534,14,2100,9,7375,5
"258",25279,0,14938,26,0,0,7327,4
"259",198137,0,6303,6,500,1,7323,4
"260",402312,0,77122,18,250,3,7375,5
"261",149733,0,605,3,500,1,7323,4
"262",70730,0,1319,12,0,0,7316,4
"263",164613,0,11095,13,0,0,7375,4
"264",47557,0,10267,18,200,3,7345,4
"265",35065,0,5400,5,1400,3,7311,4
"266",105769,0,23097,16,0,0,7345,4
"267",35900,0,0,0,0,0,7304,4
"268",43088,0,4000,1,0,0,7345,4
"269",58703,0,46473,34,950,4,7296,5
"270",70354,0,120907,22,0,0,7290,5
"271",145726,0,19019,15,0,0,7292,4
"272",121639,0,67286,7,0,0,7288,5
